BARCODE,X1,Y1,X2,Y2,X3,Y3,X4,Y4
Fill,409109.1478,3659540.304,409109.1627,3659541.246,409118.1364,3659541.121,409118.1239,3659540.178
Fill,409099.6925,3659529.263,409099.7063,3659530.28,409108.3783,3659530.166,409108.3622,3659529.147
12W1011,409108.3783,3659530.166,409099.7063,3659530.28,409099.7199,3659531.283,409108.394,3659531.165
12W1012,409099.7199,3659531.283,409099.7341,3659532.326,409108.4105,3659532.208,409108.394,3659531.165
12W1013,409108.4105,3659532.208,409099.7341,3659532.326,409099.748,3659533.353,409108.4267,3659533.237
12W1014,409099.748,3659533.353,409099.7616,3659534.351,409108.4424,3659534.234,409108.4267,3659533.237
12W1015,409108.4424,3659534.234,409099.7616,3659534.351,409099.7753,3659535.359,409108.4584,3659535.244
12W1016,409099.7753,3659535.359,409099.7891,3659536.381,409108.4745,3659536.267,409108.4584,3659535.244
12W1017,409108.4745,3659536.267,409099.7891,3659536.381,409099.8027,3659537.38,409108.4903,3659537.266
12W1018,409099.8027,3659537.38,409099.8164,3659538.39,409108.5061,3659538.27,409108.4903,3659537.266
12W1019,409108.5061,3659538.27,409099.8164,3659538.39,409099.8301,3659539.398,409108.5221,3659539.284
12W1020,409099.8301,3659539.398,409099.8442,3659540.434,409108.5383,3659540.312,409108.5221,3659539.284
Fill,409108.5383,3659540.312,409099.8442,3659540.434,409099.857,3659541.376,409108.5532,3659541.255
Fill,409099.083,3659529.271,409090.1431,3659529.39,409090.1501,3659530.405,409099.0968,3659530.288
12W1021,409090.1501,3659530.405,409090.1569,3659531.413,409099.1104,3659531.291,409099.0968,3659530.288
12W1022,409099.1104,3659531.291,409090.1569,3659531.413,409090.164,3659532.456,409099.1246,3659532.334
12W1023,409090.164,3659532.456,409090.171,3659533.48,409099.1385,3659533.361,409099.1246,3659532.334
12W1024,409099.1385,3659533.361,409090.171,3659533.48,409090.1778,3659534.48,409099.1521,3659534.359
12W1025,409090.1778,3659534.48,409090.1847,3659535.487,409099.1658,3659535.367,409099.1521,3659534.359
12W1026,409099.1658,3659535.367,409090.1847,3659535.487,409090.1916,3659536.506,409099.1796,3659536.389
12W1027,409090.1916,3659536.506,409090.1985,3659537.506,409099.1932,3659537.388,409099.1796,3659536.389
12W1028,409099.1932,3659537.388,409090.1985,3659537.506,409090.2054,3659538.522,409099.2069,3659538.398
12W1029,409090.2054,3659538.522,409090.2122,3659539.524,409099.2206,3659539.406,409099.2069,3659538.398
12W1030,409099.2206,3659539.406,409090.2122,3659539.524,409090.2193,3659540.568,409099.2347,3659540.442
Fill,409090.2193,3659540.568,409090.2258,3659541.511,409099.2475,3659541.385,409099.2347,3659540.442
Fill,409080.6612,3659529.516,409080.6681,3659530.529,409089.5405,3659530.413,409089.5336,3659529.398
12W1031,409089.5405,3659530.413,409080.6681,3659530.529,409080.675,3659531.542,409089.5474,3659531.421
12W1032,409089.5474,3659531.421,409080.675,3659531.542,409080.6822,3659532.585,409089.5545,3659532.464
12W1033,409089.5545,3659532.464,409080.6822,3659532.585,409080.6891,3659533.606,409089.5615,3659533.488
12W1034,409080.6891,3659533.606,409080.696,3659534.608,409089.5683,3659534.489,409089.5615,3659533.488
12W1035,409089.5683,3659534.489,409080.696,3659534.608,409080.7028,3659535.613,409089.5751,3659535.495
12W1036,409080.7028,3659535.613,409080.7097,3659536.631,409089.5821,3659536.514,409089.5751,3659535.495
12W1037,409089.5821,3659536.514,409080.7097,3659536.631,409080.7166,3659537.631,409089.5889,3659537.514
12W1038,409080.7166,3659537.631,409080.7235,3659538.653,409089.5958,3659538.531,409089.5889,3659537.514
12W1039,409089.5958,3659538.531,409080.7235,3659538.653,409080.7303,3659539.649,409089.6027,3659539.532
12W1040,409080.7303,3659539.649,409080.7375,3659540.701,409089.6098,3659540.577,409089.6027,3659539.532
Fill,409089.6098,3659540.577,409080.7375,3659540.701,409080.7439,3659541.644,409089.6162,3659541.52
Fill,409080.0517,3659529.524,409071.3384,3659529.64,409071.3526,3659530.651,409080.0586,3659530.537
12W1041,409071.3526,3659530.651,409071.3668,3659531.668,409080.0655,3659531.55,409080.0586,3659530.537
12W1042,409071.3668,3659531.668,409071.3814,3659532.711,409080.0726,3659532.593,409080.0655,3659531.55
12W1043,409080.0726,3659532.593,409071.3814,3659532.711,409071.3956,3659533.73,409080.0796,3659533.615
12W1044,409071.3956,3659533.73,409071.4097,3659534.733,409080.0864,3659534.616,409080.0796,3659533.615
12W1045,409080.0864,3659534.616,409071.4097,3659534.733,409071.4237,3659535.736,409080.0933,3659535.621
12W1046,409071.4237,3659535.736,409071.4379,3659536.752,409080.1002,3659536.639,409080.0933,3659535.621
12W1047,409080.1002,3659536.639,409071.4379,3659536.752,409071.4519,3659537.753,409080.107,3659537.639
12W1048,409071.4519,3659537.753,409071.4663,3659538.78,409080.114,3659538.661,409080.107,3659537.639
12W1049,409071.4663,3659538.78,409071.4801,3659539.77,409080.1208,3659539.657,409080.114,3659538.661
12W1050,409080.1208,3659539.657,409071.4801,3659539.77,409071.4949,3659540.83,409080.1279,3659540.709
Fill,409080.1279,3659540.709,409071.4949,3659540.83,409071.5081,3659541.773,409080.1344,3659541.652
Fill,409061.9023,3659529.766,409061.9145,3659530.775,409070.7431,3659530.659,409070.7289,3659529.648
12W1051,409070.7431,3659530.659,409061.9145,3659530.775,409061.9269,3659531.796,409070.7573,3659531.676
12W1052,409061.9269,3659531.796,409061.9395,3659532.839,409070.7719,3659532.719,409070.7573,3659531.676
12W1053,409070.7719,3659532.719,409061.9395,3659532.839,409061.9518,3659533.856,409070.7861,3659533.738
12W1054,409061.9518,3659533.856,409061.9639,3659534.861,409070.8002,3659534.741,409070.7861,3659533.738
12W1055,409070.8002,3659534.741,409061.9639,3659534.861,409061.976,3659535.862,409070.8142,3659535.744
12W1056,409061.976,3659535.862,409061.9883,3659536.876,409070.8284,3659536.76,409070.8142,3659535.744
12W1057,409070.8284,3659536.76,409061.9883,3659536.876,409062.0004,3659537.877,409070.8424,3659537.761
12W1058,409062.0004,3659537.877,409062.0129,3659538.911,409070.8568,3659538.789,409070.8424,3659537.761
12W1059,409062.0129,3659538.911,409062.0248,3659539.894,409070.8706,3659539.778,409070.8568,3659538.789
