utc_tstamp,longitude,latitude,heading,elevation
1438937050.2,-96.6191598,39.1328326,3.1725340915,312.29
1438937050.4,-96.6191597,39.1328326,3.1718211121,312.3
1438937050.6,-96.6191597,39.1328326,3.1733048106,312.29
1438937050.8,-96.6191597,39.1328326,3.1725923645,312.29
1438937051,-96.6191597,39.1328327,3.1717842732,312.3
1438937051.2,-96.6191598,39.1328327,3.1718617712,312.3
1438937051.4,-96.6191598,39.1328327,3.1725923645,312.29
1438937051.6,-96.6191598,39.1328327,3.1725923645,312.29
1438937051.8,-96.6191598,39.1328327,3.1725923645,312.29
1438937052,-96.6191598,39.1328327,3.1718198823,312.3
1438937052.2,-96.6191598,39.1328326,3.1733648096,312.3
1438937052.4,-96.6191598,39.1328326,3.1725923645,312.29
1438937052.6,-96.6191598,39.1328327,3.1710892238,312.29
1438937052.8,-96.6191598,39.1328326,3.1725923645,312.28
1438937053,-96.6191598,39.1328327,3.1710892238,312.29
1438937053.2,-96.6191598,39.1328326,3.1718198827,312.29
1438937053.4,-96.6191598,39.1328326,3.1718026816,312.3
1438937053.6,-96.6191598,39.1328326,3.1726696725,312.3
1438937053.8,-96.6191598,39.1328326,3.1725923645,312.3
1438937054,-96.6191598,39.1328326,3.1718617715,312.3
1438937054.2,-96.6191598,39.1328326,3.1718198827,312.3
1438937054.4,-96.6191598,39.1328326,3.1734010292,312.29
1438937054.6,-96.6191598,39.1328326,3.1725923645,312.3
1438937054.8,-96.6191598,39.1328326,3.1733228648,312.29
1438937055,-96.6191598,39.1328326,3.1726100247,312.29
1438937055.2,-96.6191598,39.1328326,3.1718617715,312.29
1438937055.4,-96.6191598,39.1328326,3.1718790168,312.29
1438937055.6,-96.6191598,39.1328326,3.1740361219,312.28
1438937055.8,-96.6191598,39.1328326,3.1733048103,312.28
1438937056,-96.6191598,39.1328326,3.1725923645,312.28
1438937056.2,-96.6191598,39.1328326,3.1733241556,312.28
1438937056.4,-96.6191598,39.1328326,3.1733829089,312.28
1438937056.6,-96.6191598,39.1328326,3.1726100247,312.28
1438937056.8,-96.6191598,39.1328326,3.1726519675,312.28
1438937057,-96.6191598,39.1328326,3.1726100247,312.29
1438937057.2,-96.6191598,39.1328326,3.1725923645,312.28
1438937057.4,-96.6191598,39.1328326,3.1733228648,312.29
1438937057.6,-96.6191598,39.1328326,3.1733228648,312.28
1438937057.8,-96.6191598,39.1328326,3.1733048103,312.28
1438937058,-96.6191597,39.1328326,3.1740163552,312.29
1438937058.2,-96.6191598,39.1328326,3.1741743153,312.29
1438937058.4,-96.6191598,39.1328326,3.1733228648,312.29
1438937058.6,-96.6191598,39.1328326,3.1733228652,312.29
1438937058.8,-96.6191598,39.1328326,3.1748865351,312.28
1438937059,-96.6191597,39.1328326,3.1732867766,312.28
1438937059.2,-96.6191597,39.1328326,3.1732867766,312.28
1438937059.4,-96.6191598,39.1328326,3.1726519675,312.29
1438937059.6,-96.6191598,39.1328326,3.1733648092,312.28
1438937059.8,-96.6191598,39.1328326,3.1725328339,312.28
1438937060,-96.6191598,39.1328326,3.1718026816,312.28
1438937060.2,-96.6191598,39.1328326,3.1726519675,312.28
1438937060.4,-96.6191598,39.1328327,3.1718790164,312.29
1438937060.6,-96.6191598,39.1328326,3.1733829089,312.29
1438937060.8,-96.6191598,39.1328326,3.1732867766,312.28
1438937101,-96.6191598,39.1328326,3.1725747243,312.29
1438937101.2,-96.6191598,39.1328326,3.1733648096,312.28
1438937101.4,-96.6191598,39.1328326,3.1726519675,312.29
1438937101.6,-96.6191598,39.1328326,3.1733648096,312.3
1438937101.8,-96.6191598,39.1328326,3.1726696725,312.29
1438937102,-96.6191598,39.1328326,3.1725328339,312.29
1438937102.2,-96.6191598,39.1328326,3.1734430261,312.29
1438937102.4,-96.6191598,39.1328326,3.1733060996,312.29
1438937102.6,-96.6191598,39.1328326,3.1725328339,312.29
1438937102.8,-96.6191598,39.1328326,3.1740176726,312.29
1438937103,-96.6191598,39.1328326,3.1732461704,312.28
1438937103.2,-96.6191598,39.1328326,3.1725923645,312.29
1438937103.4,-96.6191597,39.1328326,3.1733048106,312.3
1438937103.6,-96.6191598,39.1328326,3.1733048103,312.3
1438937103.8,-96.6191598,39.1328326,3.1726112869,312.3
1438937104,-96.6191598,39.1328326,3.1733228648,312.3
1438937104.2,-96.6191598,39.1328326,3.1733422318,312.3
1438937104.4,-96.6191597,39.1328326,3.1733048106,312.29
1438937104.6,-96.6191597,39.1328327,3.171054473,312.29
1438937104.8,-96.6191598,39.1328326,3.1718026816,312.29
1438937105,-96.6191598,39.1328326,3.1717436635,312.29
1438937105.2,-96.6191598,39.1328327,3.1718617712,312.29
1438937105.4,-96.6191598,39.1328327,3.1710724373,312.29
1438937105.6,-96.6191598,39.1328326,3.1740952426,312.28
1438937105.8,-96.6191598,39.1328326,3.1710892242,312.29
1438937106,-96.6191598,39.1328327,3.1725340915,312.29
1438937106.2,-96.6191598,39.1328327,3.1703584744,312.29
1438937106.4,-96.6191598,39.1328326,3.1733829093,312.29
1438937106.6,-96.6191598,39.1328326,3.1733829089,312.3
1438937106.8,-96.6191598,39.1328326,3.1725923645,312.3
1438937107,-96.6191598,39.1328326,3.1734010296,312.3
1438937107.2,-96.6191598,39.1328327,3.1718790164,312.3
1438937107.4,-96.6191598,39.1328326,3.1740952426,312.29
1438937107.6,-96.6191598,39.1328326,3.1732461704,312.28
1438937107.8,-96.6191598,39.1328326,3.1726519675,312.29
1438937108,-96.6191598,39.1328326,3.1718026816,312.29
1438937108.2,-96.6191598,39.1328326,3.1733829089,312.29
1438937108.4,-96.6191597,39.1328326,3.1725747243,312.29
1438937108.6,-96.6191597,39.1328326,3.1725747243,312.29
1438937108.8,-96.6191598,39.1328326,3.1733648092,312.29
1438937109,-96.6191598,39.1328326,3.1725747243,312.3
1438937109.2,-96.6191597,39.1328326,3.1733048106,312.3
1438937109.4,-96.6191598,39.1328326,3.1740163556,312.29
1438937109.6,-96.6191598,39.1328326,3.1740952426,312.29
1438937109.8,-96.6191597,39.1328326,3.1724976627,312.29
1438937110,-96.6191598,39.1328326,3.174806674,312.29
1438937110.2,-96.6191597,39.1328326,3.1740569582,312.29
1438937110.4,-96.6191598,39.1328326,3.1726100247,312.3
1438937110.6,-96.6191598,39.1328326,3.1710138595,312.3
1438937110.8,-96.6191598,39.1328326,3.1725923645,312.3
1438937111,-96.6191598,39.1328326,3.1725923645,312.3
1438937111.2,-96.6191598,39.1328326,3.1726519675,312.3
1438937111.4,-96.6191598,39.1328326,3.1718617715,312.3
1438937111.6,-96.6191598,39.1328326,3.1725923645,312.29
1438937111.8,-96.6191598,39.1328326,3.1711060298,312.29
