sensor_ID,utc_time,utc_date,channel_1_output,channel_2_output,channel_3_output,calculated_vi_1,calculated_vi_2
CCL_AC000304,161639.0,070515,0.05280,0.50500,0.09800,0.81100,4.15300
CCL_AC000259,161639.2,070515,0.04880,0.35880,0.08760,0.76000,0.60800
CCL_AC000304,161639.2,070515,0.05200,0.49480,0.10740,0.81000,3.60800
CCL_AC000259,161639.2,070515,0.04820,0.36270,0.08510,0.76500,0.62000
CCL_AC000304,161639.2,070515,0.05260,0.50820,0.10190,0.81200,3.98600
CCL_AC000259,161639.4,070515,0.04980,0.37270,0.08810,0.76400,0.61700
CCL_AC000304,161639.4,070515,0.05300,0.50910,0.09720,0.81100,4.23600
CCL_AC000259,161639.4,070515,0.04980,0.37580,0.09300,0.76600,0.60300
CCL_AC000304,161639.4,070515,0.05430,0.51530,0.09960,0.80900,4.17400
CCL_AC000259,161639.6,070515,0.05070,0.38140,0.09140,0.76500,0.61300
CCL_AC000304,161639.6,070515,0.05280,0.50580,0.09950,0.81100,4.08200
CCL_AC000259,161639.6,070515,0.05040,0.38000,0.09710,0.76600,0.59300
CCL_AC000304,161639.6,070515,0.05150,0.50620,0.09650,0.81500,4.24600
CCL_AC000259,161639.8,070515,0.04940,0.37380,0.09520,0.76600,0.59400
