BARCODE,X1,Y1,X2,Y2,X3,Y3,X4,Y4
15ASH20129,705769.3655,4334199.313,705769.3655,4334201.313,705769.7655,4334201.313,705769.7655,4334199.313
15ASH20128,705770.2008,4334198.631,705770.2008,4334200.631,705770.6008,4334200.631,705770.6008,4334198.631
15ASH20127,705770.909,4334198.556,705770.909,4334200.556,705771.309,4334200.556,705771.309,4334198.556
15ASH20126,705771.7781,4334199.33,705771.7781,4334201.33,705772.1781,4334201.33,705772.1781,4334199.33
15ASH20125,705772.4874,4334199.257,705772.4874,4334201.257,705772.8874,4334201.257,705772.8874,4334199.257
15ASH20124,705773.4181,4334198.748,705773.4181,4334200.748,705773.8181,4334200.748,705773.8181,4334198.748
15ASH20123,705774.1238,4334198.742,705774.1238,4334200.742,705774.5238,4334200.742,705774.5238,4334198.742
15ASH20122,705775.2059,4334199.401,705775.2059,4334201.401,705775.6059,4334201.401,705775.6059,4334199.401
15ASH20121,705775.9125,4334199.301,705775.9125,4334201.301,705776.3125,4334201.301,705776.3125,4334199.301
15ASH20120,705776.6949,4334198.624,705776.6949,4334200.624,705777.0949,4334200.624,705777.0949,4334198.624
15ASH20119,705777.3996,4334198.641,705777.3996,4334200.641,705777.7996,4334200.641,705777.7996,4334198.641
15ASH20118,705778.4552,4334199.463,705778.4552,4334201.463,705778.8552,4334201.463,705778.8552,4334199.463
15ASH20117,705779.1629,4334199.385,705779.1629,4334201.385,705779.5629,4334201.385,705779.5629,4334199.385
15ASH20116,705779.9611,4334198.763,705779.9611,4334200.763,705780.3611,4334200.763,705780.3611,4334198.763
15ASH20115,705780.671,4334198.67,705780.671,4334200.67,705781.071,4334200.67,705781.071,4334198.67
15ASH20114,705781.6528,4334199.5,705781.6528,4334201.5,705782.0528,4334201.5,705782.0528,4334199.5
15ASH20113,705782.3596,4334199.423,705782.3596,4334201.423,705782.7596,4334201.423,705782.7596,4334199.423
15ASH20112,705783.0602,4334198.849,705783.0602,4334200.849,705783.4602,4334200.849,705783.4602,4334198.849
15ASH20111,705783.7726,4334198.817,705783.7726,4334200.817,705784.1726,4334200.817,705784.1726,4334198.817
15ASH20110,705784.6921,4334199.522,705784.6921,4334201.522,705785.0921,4334201.522,705785.0921,4334199.522
15ASH20109,705785.4016,4334199.444,705785.4016,4334201.444,705785.8016,4334201.444,705785.8016,4334199.444
15ASH20145,705785.5334,4334196.047,705785.5334,4334198.047,705785.9334,4334198.047,705785.9334,4334196.047
15ASH20146,705784.8242,4334196.025,705784.8242,4334198.025,705785.2242,4334198.025,705785.2242,4334196.025
15ASH20147,705783.8383,4334195.476,705783.8383,4334197.476,705784.2383,4334197.476,705784.2383,4334195.476
15ASH20148,705783.1305,4334195.483,705783.1305,4334197.483,705783.5305,4334197.483,705783.5305,4334195.483
15ASH20149,705782.3439,4334196.085,705782.3439,4334198.085,705782.7439,4334198.085,705782.7439,4334196.085
15ASH20150,705781.6301,4334196.204,705781.6301,4334198.204,705782.0301,4334198.204,705782.0301,4334196.204
15ASH20151,705780.6459,4334195.384,705780.6459,4334197.384,705781.0459,4334197.384,705781.0459,4334195.384
15ASH20152,705779.9411,4334195.429,705779.9411,4334197.429,705780.3411,4334197.429,705780.3411,4334195.429
15ASH20153,705779.1427,4334196.06,705779.1427,4334198.06,705779.5427,4334198.06,705779.5427,4334196.06
15ASH20154,705778.4319,4334196.111,705778.4319,4334198.111,705778.8319,4334198.111,705778.8319,4334196.111
15ASH20155,705777.5004,4334195.306,705777.5004,4334197.306,705777.9004,4334197.306,705777.9004,4334195.306
15ASH20156,705776.793,4334195.379,705776.793,4334197.379,705777.193,4334197.379,705777.193,4334195.379
15ASH20157,705775.8506,4334195.933,705775.8506,4334197.933,705776.2506,4334197.933,705776.2506,4334195.933
15ASH20158,705775.1508,4334195.978,705775.1508,4334197.978,705775.5508,4334197.978,705775.5508,4334195.978
15ASH20159,705774.1537,4334195.306,705774.1537,4334197.306,705774.5537,4334197.306,705774.5537,4334195.306
15ASH20160,705773.4464,4334195.385,705773.4464,4334197.385,705773.8464,4334197.385,705773.8464,4334195.385
15ASH20161,705772.6166,4334195.941,705772.6166,4334197.941,705773.0166,4334197.941,705773.0166,4334195.941
15ASH20162,705771.9082,4334196.012,705771.9082,4334198.012,705772.3082,4334198.012,705772.3082,4334196.012
15ASH20163,705770.9202,4334195.357,705770.9202,4334197.357,705771.3202,4334197.357,705771.3202,4334195.357
15ASH20164,705770.2133,4334195.339,705770.2133,4334197.339,705770.6133,4334197.339,705770.6133,4334195.339
15ASH20165,705769.411,4334195.994,705769.411,4334197.994,705769.811,4334197.994,705769.811,4334195.994
15ASH20166,705768.7075,4334195.998,705768.7075,4334197.998,705769.1075,4334197.998,705769.1075,4334195.998
15ASH20167,705767.8343,4334195.253,705767.8343,4334197.253,705768.2343,4334197.253,705768.2343,4334195.253
15ASH20168,705767.1249,4334195.333,705767.1249,4334197.333,705767.5249,4334197.333,705767.5249,4334195.333
15ASH20169,705766.2346,4334196.011,705766.2346,4334198.011,705766.6346,4334198.011,705766.6346,4334196.011
15ASH20170,705765.5244,4334196.049,705765.5244,4334198.049,705765.9244,4334198.049,705765.9244,4334196.049
15ASH20171,705764.5554,4334195.186,705764.5554,4334197.186,705764.9554,4334197.186,705764.9554,4334195.186
15ASH20172,705763.8453,4334195.285,705763.8453,4334197.285,705764.2453,4334197.285,705764.2453,4334195.285
15ASH20173,705762.9335,4334195.863,705762.9335,4334197.863,705763.3335,4334197.863,705763.3335,4334195.863
15ASH20174,705762.2235,4334195.976,705762.2235,4334197.976,705762.6235,4334197.976,705762.6235,4334195.976
15ASH20175,705761.3771,4334195.206,705761.3771,4334197.206,705761.7771,4334197.206,705761.7771,4334195.206
15ASH20176,705760.6667,4334195.247,705760.6667,4334197.247,705761.0667,4334197.247,705761.0667,4334195.247
15ASH20177,705759.7403,4334195.884,705759.7403,4334197.884,705760.1403,4334197.884,705760.1403,4334195.884
15ASH20178,705759.0315,4334195.861,705759.0315,4334197.861,705759.4315,4334197.861,705759.4315,4334195.861
15ASH20179,705757.9925,4334195.168,705757.9925,4334197.168,705758.3925,4334197.168,705758.3925,4334195.168
15ASH20180,705757.2827,4334195.189,705757.2827,4334197.189,705757.6827,4334197.189,705757.6827,4334195.189
15ASH20216,705757.3839,4334191.786,705757.3839,4334193.786,705757.7839,4334193.786,705757.7839,4334191.786
15ASH20215,705758.0931,4334191.798,705758.0931,4334193.798,705758.4931,4334193.798,705758.4931,4334191.798
15ASH20214,705759.0195,4334192.417,705759.0195,4334194.417,705759.4195,4334194.417,705759.4195,4334192.417
15ASH20213,705759.7269,4334192.453,705759.7269,4334194.453,705760.1269,4334194.453,705760.1269,4334192.453
15ASH20212,705760.5941,4334191.852,705760.5941,4334193.852,705760.9941,4334193.852,705760.9941,4334191.852
15ASH20211,705761.304,4334191.846,705761.304,4334193.846,705761.704,4334193.846,705761.704,4334191.846
15ASH20210,705762.3176,4334192.55,705762.3176,4334194.55,705762.7176,4334194.55,705762.7176,4334192.55
15ASH20209,705763.0243,4334192.563,705763.0243,4334194.563,705763.4243,4334194.563,705763.4243,4334192.563
15ASH20208,705763.8414,4334191.921,705763.8414,4334193.921,705764.2414,4334193.921,705764.2414,4334191.921
15ASH20207,705764.5504,4334191.872,705764.5504,4334193.872,705764.9504,4334193.872,705764.9504,4334191.872
15ASH20206,705765.4909,4334192.673,705765.4909,4334194.673,705765.8909,4334194.673,705765.8909,4334192.673
15ASH20205,705766.2018,4334192.643,705766.2018,4334194.643,705766.6018,4334194.643,705766.6018,4334192.643
15ASH20204,705767.0883,4334191.855,705767.0883,4334193.855,705767.4883,4334193.855,705767.4883,4334191.855
15ASH20203,705767.7975,4334191.74,705767.7975,4334193.74,705768.1975,4334193.74,705768.1975,4334191.74
15ASH20202,705768.8289,4334192.686,705768.8289,4334194.686,705769.2289,4334194.686,705769.2289,4334192.686
15ASH20201,705769.5392,4334192.663,705769.5392,4334194.663,705769.9392,4334194.663,705769.9392,4334192.663
15ASH20200,705770.2515,4334191.953,705770.2515,4334193.953,705770.6515,4334193.953,705770.6515,4334191.953
15ASH20199,705770.9603,4334191.943,705770.9603,4334193.943,705771.3603,4334193.943,705771.3603,4334191.943
15ASH20198,705771.9543,4334192.73,705771.9543,4334194.73,705772.3543,4334194.73,705772.3543,4334192.73
15ASH20197,705772.6601,4334192.668,705772.6601,4334194.668,705773.0601,4334194.668,705773.0601,4334192.668
15ASH20196,705773.502,4334192.03,705773.502,4334194.03,705773.902,4334194.03,705773.902,4334192.03
15ASH20195,705774.2075,4334192.005,705774.2075,4334194.005,705774.6075,4334194.005,705774.6075,4334192.005
15ASH20194,705775.1832,4334192.727,705775.1832,4334194.727,705775.5832,4334194.727,705775.5832,4334192.727
15ASH20193,705775.8843,4334192.689,705775.8843,4334194.689,705776.2843,4334194.689,705776.2843,4334192.689
15ASH20192,705776.7434,4334191.995,705776.7434,4334193.995,705777.1434,4334193.995,705777.1434,4334191.995
15ASH20191,705777.4498,4334191.931,705777.4498,4334193.931,705777.8498,4334193.931,705777.8498,4334191.931
15ASH20190,705778.3655,4334192.759,705778.3655,4334194.759,705778.7655,4334194.759,705778.7655,4334192.759
15ASH20189,705779.0747,4334192.722,705779.0747,4334194.722,705779.4747,4334194.722,705779.4747,4334192.722
15ASH20188,705779.9132,4334192.076,705779.9132,4334194.076,705780.3132,4334194.076,705780.3132,4334192.076
15ASH20187,705780.6242,4334192.009,705780.6242,4334194.009,705781.0242,4334194.009,705781.0242,4334192.009
15ASH20186,705781.7367,4334192.777,705781.7367,4334194.777,705782.1367,4334194.777,705782.1367,4334192.777
15ASH20185,705782.4452,4334192.739,705782.4452,4334194.739,705782.8452,4334194.739,705782.8452,4334192.739
15ASH20184,705783.2524,4334191.995,705783.2524,4334193.995,705783.6524,4334193.995,705783.6524,4334191.995
15ASH20183,705783.9609,4334191.918,705783.9609,4334193.918,705784.3609,4334193.918,705784.3609,4334191.918
15ASH20182,705784.934,4334192.719,705784.934,4334194.719,705785.334,4334194.719,705785.334,4334192.719
15ASH20181,705785.6452,4334192.708,705785.6452,4334194.708,705786.0452,4334194.708,705786.0452,4334192.708
15ASH20217,705785.665,4334189.428,705785.665,4334191.428,705786.065,4334191.428,705786.065,4334189.428
15ASH20218,705784.9543,4334189.468,705784.9543,4334191.468,705785.3543,4334191.468,705785.3543,4334189.468
15ASH20219,705783.823,4334188.724,705783.823,4334190.724,705784.223,4334190.724,705784.223,4334188.724
15ASH20220,705783.1146,4334188.748,705783.1146,4334190.748,705783.5146,4334190.748,705783.5146,4334188.748
15ASH20221,705782.3494,4334189.315,705782.3494,4334191.315,705782.7494,4334191.315,705782.7494,4334189.315
15ASH20222,705781.6423,4334189.355,705781.6423,4334191.355,705782.0423,4334191.355,705782.0423,4334189.355
15ASH20223,705780.7446,4334188.693,705780.7446,4334190.693,705781.1446,4334190.693,705781.1446,4334188.693
15ASH20224,705780.0334,4334188.715,705780.0334,4334190.715,705780.4334,4334190.715,705780.4334,4334188.715
15ASH20225,705779.1558,4334189.439,705779.1558,4334191.439,705779.5558,4334191.439,705779.5558,4334189.439
15ASH20226,705778.449,4334189.416,705778.449,4334191.416,705778.849,4334191.416,705778.849,4334189.416
15ASH20227,705777.4262,4334188.658,705777.4262,4334190.658,705777.8262,4334190.658,705777.8262,4334188.658
15ASH20228,705776.7126,4334188.716,705776.7126,4334190.716,705777.1126,4334190.716,705777.1126,4334188.716
15ASH20229,705775.8723,4334189.303,705775.8723,4334191.303,705776.2723,4334191.303,705776.2723,4334189.303
15ASH20230,705775.1593,4334189.38,705775.1593,4334191.38,705775.5593,4334191.38,705775.5593,4334189.38
15ASH20231,705774.1728,4334188.569,705774.1728,4334190.569,705774.5728,4334190.569,705774.5728,4334188.569
15ASH20232,705773.4687,4334188.573,705773.4687,4334190.573,705773.8687,4334190.573,705773.8687,4334188.573
15ASH20233,705772.6615,4334189.224,705772.6615,4334191.224,705773.0615,4334191.224,705773.0615,4334189.224
15ASH20234,705771.9534,4334189.309,705771.9534,4334191.309,705772.3534,4334191.309,705772.3534,4334189.309
15ASH20235,705770.9794,4334188.594,705770.9794,4334190.594,705771.3794,4334190.594,705771.3794,4334188.594
15ASH20236,705770.2704,4334188.581,705770.2704,4334190.581,705770.6704,4334190.581,705770.6704,4334188.581
15ASH20237,705769.4303,4334189.219,705769.4303,4334191.219,705769.8303,4334191.219,705769.8303,4334189.219
15ASH20238,705768.7231,4334189.236,705768.7231,4334191.236,705769.1231,4334191.236,705769.1231,4334189.236
15ASH20239,705767.8342,4334188.563,705767.8342,4334190.563,705768.2342,4334190.563,705768.2342,4334188.563
15ASH20240,705767.1236,4334188.538,705767.1236,4334190.538,705767.5236,4334190.538,705767.5236,4334188.538
15ASH20241,705766.2192,4334189.239,705766.2192,4334191.239,705766.6192,4334191.239,705766.6192,4334189.239
15ASH20242,705765.5102,4334189.292,705765.5102,4334191.292,705765.9102,4334191.292,705765.9102,4334189.292
15ASH20243,705764.5814,4334188.621,705764.5814,4334190.621,705764.9814,4334190.621,705764.9814,4334188.621
15ASH20244,705763.8717,4334188.566,705763.8717,4334190.566,705764.2717,4334190.566,705764.2717,4334188.566
15ASH20245,705763.0623,4334189.162,705763.0623,4334191.162,705763.4623,4334191.162,705763.4623,4334189.162
15ASH20246,705762.3523,4334189.202,705762.3523,4334191.202,705762.7523,4334191.202,705762.7523,4334189.202
15ASH20247,705761.3304,4334188.485,705761.3304,4334190.485,705761.7304,4334190.485,705761.7304,4334188.485
15ASH20248,705760.6221,4334188.502,705760.6221,4334190.502,705761.0221,4334190.502,705761.0221,4334188.502
15ASH20249,705759.786,4334189.178,705759.786,4334191.178,705760.186,4334191.178,705760.186,4334189.178
15ASH20250,705759.0753,4334189.18,705759.0753,4334191.18,705759.4753,4334191.18,705759.4753,4334189.18
15ASH20251,705758.1233,4334188.458,705758.1233,4334190.458,705758.5233,4334190.458,705758.5233,4334188.458
15ASH20252,705757.4141,4334188.4,705757.4141,4334190.4,705757.8141,4334190.4,705757.8141,4334188.4
15ASH20288,705757.4859,4334185.238,705757.4859,4334187.238,705757.8859,4334187.238,705757.8859,4334185.238
